DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2019-Q3,140130,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2019-Q4,141418,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2020-Q1,142481,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2020-Q2,143297,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2020-Q3,143812,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2020-Q4,144296,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2021-Q1,144749,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2021-Q2,145230,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2021-Q3,146488,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2021-Q4,147893,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2022-Q1,149244,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2022-Q2,150602,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2015-Q1,174130,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2015-Q2,173708,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2015-Q3,174255,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2015-Q4,174214,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2016-Q1,175965,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2016-Q2,176276,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2016-Q3,177612,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2016-Q4,178027,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2017-Q1,180725,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2017-Q2,181444,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2017-Q3,182761,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2017-Q4,182633,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2018-Q1,185304,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2018-Q2,186135,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2018-Q3,186327,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2018-Q4,184803,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2019-Q1,186016,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2019-Q2,184992,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2019-Q3,184694,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2019-Q4,182021,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2020-Q1,181938,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2020-Q2,179814,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2020-Q3,176620,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2020-Q4,173422,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2021-Q1,171223,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2021-Q2,169585,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2021-Q3,168265,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2021-Q4,168213,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2022-Q1,170526,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,23:23,AUS: Australia,Q: Quarterly,2022-Q2,171335,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2015-Q1,25976,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2015-Q2,26058,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2015-Q3,26159,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2015-Q4,26588,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2016-Q1,27046,PSNS: Persons,,
